umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.39,0.9727081875437369,0.7931034482758621,0.304635761589404,0.44019138755980863,0.35439396294633196,0.7445591607209192,4124,12,105,46,58,1062,MLP inicial
0.395,0.9727081875437369,0.7931034482758621,0.304635761589404,0.44019138755980863,0.35439396294633196,0.7445591607209192,4124,12,105,46,58,1062,MLP inicial
0.4,0.9724749241894098,0.7894736842105263,0.2980132450331126,0.4326923076923077,0.35439396294633196,0.7445591607209192,4124,12,106,45,57,1072,MLP inicial
0.405,0.9724749241894098,0.7894736842105263,0.2980132450331126,0.4326923076923077,0.35439396294633196,0.7445591607209192,4124,12,106,45,57,1072,MLP inicial
0.41000000000000003,0.9724749241894098,0.7894736842105263,0.2980132450331126,0.4326923076923077,0.35439396294633196,0.7445591607209192,4124,12,106,45,57,1072,MLP inicial
0.41500000000000004,0.9722416608350828,0.7857142857142857,0.2913907284768212,0.4251207729468599,0.35439396294633196,0.7445591607209192,4124,12,107,44,56,1082,MLP inicial
0.42000000000000004,0.9722416608350828,0.7962962962962963,0.2847682119205298,0.4195121951219512,0.35439396294633196,0.7445591607209192,4125,11,108,43,54,1091,MLP inicial
0.42500000000000004,0.9722416608350828,0.7962962962962963,0.2847682119205298,0.4195121951219512,0.35439396294633196,0.7445591607209192,4125,11,108,43,54,1091,MLP inicial
0.43000000000000005,0.9722416608350828,0.7962962962962963,0.2847682119205298,0.4195121951219512,0.35439396294633196,0.7445591607209192,4125,11,108,43,54,1091,MLP inicial
0.43500000000000005,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.44,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.445,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.45,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.455,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.46,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.465,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
0.47000000000000003,0.9724749241894098,0.8113207547169812,0.2847682119205298,0.4215686274509804,0.35439396294633196,0.7445591607209192,4126,10,108,43,53,1090,MLP inicial
