umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.315,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.32,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.325,0.9729414508980639,0.7777777777777778,0.32450331125827814,0.45794392523364486,0.36980015276995626,0.7656195959880616,4122,14,102,49,63,1034,MLP regularizada
0.33,0.9729414508980639,0.7777777777777778,0.32450331125827814,0.45794392523364486,0.36980015276995626,0.7656195959880616,4122,14,102,49,63,1034,MLP regularizada
0.335,0.9729414508980639,0.7777777777777778,0.32450331125827814,0.45794392523364486,0.36980015276995626,0.7656195959880616,4122,14,102,49,63,1034,MLP regularizada
0.34,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.34500000000000003,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.35000000000000003,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.35500000000000004,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.36000000000000004,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.36500000000000005,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.37000000000000005,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.375,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.38,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.385,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.39,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.395,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.4,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.405,0.9727081875437369,0.7741935483870968,0.31788079470198677,0.4507042253521127,0.36980015276995626,0.7656195959880616,4122,14,103,48,62,1044,MLP regularizada
0.41000000000000003,0.9729414508980639,0.7868852459016393,0.31788079470198677,0.4528301886792453,0.36980015276995626,0.7656195959880616,4123,13,103,48,61,1043,MLP regularizada
0.41500000000000004,0.9729414508980639,0.7868852459016393,0.31788079470198677,0.4528301886792453,0.36980015276995626,0.7656195959880616,4123,13,103,48,61,1043,MLP regularizada
0.42000000000000004,0.9729414508980639,0.7868852459016393,0.31788079470198677,0.4528301886792453,0.36980015276995626,0.7656195959880616,4123,13,103,48,61,1043,MLP regularizada
0.42500000000000004,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.43000000000000005,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.43500000000000005,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.44,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.445,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.45,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.455,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.46,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.465,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.47000000000000003,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.47500000000000003,0.9727081875437369,0.7833333333333333,0.31125827814569534,0.44549763033175355,0.36980015276995626,0.7656195959880616,4123,13,104,47,60,1053,MLP regularizada
0.48000000000000004,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.48500000000000004,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.49000000000000005,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.49500000000000005,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.5,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.505,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.51,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.515,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.52,0.9729414508980639,0.7966101694915254,0.31125827814569534,0.44761904761904764,0.36980015276995626,0.7656195959880616,4124,12,104,47,59,1052,MLP regularizada
0.525,0.973174714252391,0.8103448275862069,0.31125827814569534,0.44976076555023925,0.36980015276995626,0.7656195959880616,4125,11,104,47,58,1051,MLP regularizada
0.53,0.973174714252391,0.8103448275862069,0.31125827814569534,0.44976076555023925,0.36980015276995626,0.7656195959880616,4125,11,104,47,58,1051,MLP regularizada
